message,label
big difference ltgt versus ltgt every ltgt hr,0
love wine dine lady,0
much payed suganya,0
oh kafter placement ah,0
anything lor,0
im wondering right,0
yes last practice,0
messageno responcewhat happend,0
yup thk cine better co need go plaza mah,0
kinda first one get twelve aah speak tomo,0
yoyyooo u know change permission drive mac usb flash drive,0
hi darlin finish u pick meet text back number luv kate xxx,0
family responding anything room went home diwali one called coming make feel like died,0
new deus ex game comin early next yr,0
ever thought living good life perfect partner txt back name age join mobile community psms,1
see christmassy,0
whens radio show,0
dunno dad said coming home bring u lunch yup go w u lor call u reach school lor,0
lul im gettin juicy gossip hospital two nurse talking fat gettin one think shes obese oyea,0
babe miiiiiiissssssssss need crave geeee im sad without babe love,0
good thing im getting connection bw,0
sm ac sun post helloyou seem cool wanted say hi hi stop send stop,1
short cute good person dont try prove gud noon,0
ow u deyi paid thousadi told u would call,0
u really pig leh sleep much dad wake smth eat lunch today,0
ugh got ta drive back sd la butt sore,0
forgot take year shower sorry atyour phone dead yet,0
ringtoneking,1
gud mrng dear hav nice day,0
oh oh wasted den muz chiong sat n sun liao,0
dont think u got think use got good ni,0
wet right,0
sent ur email id soon,0
feb ltgt love u day send dis ur valued frnds evn come back ull gt married person u luv u ignore dis u lose ur luv evr,0
tessypls favor pls convey birthday wish nimyapls dnt forget today birthday shijas,0
wnt buy bmw car urgentlyits vry urgentbut hv shortage ltgt lacsthere source arng dis amt ltgt lacsthats prob,0
u find time bus coz need sort stuff,0
mmmmmm love youso much ahmad cant wait year begin every second take closer side happy new year love,0
ur going bahamas callfreefone speak live operator claim either bahamas cruise of£ cash opt txt x,1
customer loyalty offerthe new nokia mobile £ txtauction txt word start get tctxt tc pmtmsg,1
okie thanx,0
dearme cherthalain case u r coming cochin pls call bfore u starti shall also reach accordinglyor tell day u r comingtmorow engaged an holiday,0
im coming back thursday yay gon na ok get money cheer oh yeah everything alright hows school call work,0
valentine game send dis msg ur friend answer r someone really love u ques colour suit best,0
u ned convince tht possible witot hurting feeling main,0
